PM1.0 concentration, PM2.5 concentration, PM10 concentration, Pressure(hPa), Humidity (RH), Temperature (oC), Time
3,5,5,999.8,43.08,25.64,18:45
3,5,5,999.8,43.05,25.65,18:46
3,4,4,999.81,43.03,25.63,18:46
3,4,4,999.79,43.06,25.63,18:47
3,4,4,999.8,43.06,25.63,18:47
3,4,4,999.81,43.05,25.61,18:48
3,4,4,999.83,43.1,25.59,18:48
3,4,4,999.82,43.11,25.58,18:49
3,4,4,999.8,43.15,25.57,18:49
3,4,4,999.81,43.22,25.51,18:50
3,4,4,999.83,43.28,25.5,18:50
3,4,4,999.81,43.34,25.5,18:51
3,4,4,999.82,43.32,25.51,18:51
3,4,4,999.85,43.41,25.43,18:52
3,4,4,999.82,43.49,25.41,18:52
3,4,4,999.81,43.55,25.4,18:53
3,4,4,999.81,43.47,25.35,18:53
2,3,3,999.8,43.52,25.3,18:54
2,3,3,999.82,43.58,25.21,18:54
2,3,3,999.81,43.62,25.19,18:55
2,3,3,999.81,43.7,25.17,18:55
2,3,3,999.83,43.73,25.2,18:56
2,3,3,999.81,43.75,25.21,18:56
2,3,3,999.82,43.81,25.2,18:57
2,3,3,999.84,43.9,25.15,18:57
2,3,3,999.81,43.92,25.13,18:58
2,4,4,999.84,43.97,25.11,18:58
2,4,4,999.82,44.01,25.08,18:59
2,4,4,999.82,44.01,25.05,18:59
2,3,3,999.8,44.03,24.97,19:00
2,3,3,999.84,44.04,24.96,19:00
2,3,3,999.8,44.07,24.92,19:01
2,4,4,999.84,44.08,24.95,19:01
2,4,4,999.83,44.11,24.92,19:02
2,4,4,999.83,44.13,24.94,19:02
2,4,4,999.81,44.12,24.95,19:03
2,4,4,999.82,44.12,24.97,19:03
2,4,4,999.82,44.13,24.98,19:04
2,3,4,999.81,44.12,24.99,19:04
2,3,4,999.78,44.11,24.99,19:05
2,3,4,999.84,44.13,24.99,19:05
2,3,4,999.83,44.18,24.97,19:06
2,3,4,999.79,44.21,24.91,19:06
2,3,4,999.84,44.22,24.9,19:07
2,3,4,999.81,44.28,24.81,19:07
2,3,4,999.82,44.35,24.79,19:08
2,3,4,999.84,44.38,24.81,19:08
3,4,5,999.85,44.4,24.82,19:09
3,4,5,999.83,44.42,24.83,19:09
3,4,5,999.82,44.43,24.82,19:10
3,3,4,999.82,44.46,24.8,19:10
3,3,4,999.83,44.5,24.79,19:11
3,3,4,999.82,44.52,24.78,19:11
2,3,4,999.82,44.53,24.76,19:12
2,3,4,999.82,44.57,24.71,19:12
2,3,4,999.82,44.6,24.73,19:13
3,3,4,999.8,44.6,24.75,19:13
3,3,4,999.79,44.62,24.75,19:14
3,3,4,999.76,44.68,24.74,19:14
2,3,4,999.78,44.71,24.73,19:15
2,3,4,999.8,44.75,24.69,19:15
2,3,4,999.8,44.79,24.67,19:16
3,4,4,999.79,44.8,24.68,19:16
3,4,4,999.81,44.83,24.68,19:17
3,4,4,999.81,44.84,24.68,19:17
3,4,4,999.81,44.85,24.69,19:18
3,4,4,999.78,44.84,24.69,19:18
3,4,4,999.8,44.86,24.67,19:19
3,4,4,999.8,44.9,24.64,19:19
3,4,4,999.82,44.93,24.62,19:20
3,4,4,999.8,44.97,24.61,19:20
3,4,4,999.82,44.98,24.61,19:21
3,4,4,999.8,44.95,24.63,19:21
3,4,4,999.82,44.95,24.62,19:22
3,4,4,999.8,44.95,24.63,19:22
3,4,4,999.82,44.94,24.63,19:23
3,4,4,999.83,44.95,24.64,19:23
3,4,4,999.8,45.01,24.6,19:24
3,3,3,1000.11,57.86,19.74,19:25
3,3,3,1000.08,57.91,19.73,19:25
3,3,3,1000.09,57.91,19.74,19:26
3,4,4,1000.09,57.96,19.73,19:26
3,4,4,1000.11,57.95,19.75,19:27
3,4,4,1000.1,57.96,19.75,19:27
3,3,4,1000.08,57.97,19.76,19:28
3,3,4,1000.09,58,19.77,19:28
3,3,4,1000.09,58,19.78,19:29
3,3,4,1000.1,57.97,19.78,19:29
3,3,4,1000.07,57.93,19.79,19:30
3,3,4,1000.08,57.91,19.77,19:30
3,3,4,1000.08,57.91,19.76,19:31
3,3,4,1000.06,57.9,19.77,19:31
3,3,4,1000.06,57.89,19.78,19:32
2,3,4,1000.05,57.88,19.79,19:32
2,3,4,1000.08,57.87,19.8,19:33
2,3,4,1000.03,57.86,19.8,19:33
2,3,4,1000.05,57.86,19.81,19:34
2,3,4,1000.08,57.86,19.82,19:34
2,3,4,1000.05,57.86,19.83,19:35
2,3,4,1000.05,57.85,19.83,19:35
2,3,4,1000.04,57.79,19.83,19:36
2,3,4,1000.05,57.76,19.84,19:36
2,3,4,1000.04,57.72,19.85,19:37
2,3,4,1000.05,57.71,19.85,19:37
2,3,4,1000.06,57.7,19.85,19:38
2,3,4,1000.03,57.71,19.85,19:38
2,3,4,1000.03,57.71,19.85,19:39
2,3,4,1000.05,57.7,19.86,19:39
2,3,4,1000.05,57.7,19.86,19:40
2,3,4,1000.03,57.71,19.82,19:40
2,3,4,1000.02,57.76,19.81,19:41
2,3,4,1000.05,57.8,19.8,19:41
2,3,4,1000.02,57.84,19.82,19:42
2,3,4,1000.01,57.83,19.82,19:42
2,3,4,1000.04,57.83,19.81,19:43
2,3,4,1000.05,57.84,19.81,19:43
2,3,4,1000.04,57.84,19.83,19:44
2,3,4,1000.06,57.82,19.85,19:44
2,3,4,1000.05,57.78,19.86,19:45
2,3,4,1000.06,57.75,19.86,19:45
2,3,4,1000.07,57.74,19.86,19:46
2,3,4,1000.1,57.73,19.87,19:46
2,3,4,1000.08,57.72,19.88,19:47
3,3,4,1000.07,57.71,19.88,19:47
3,3,4,1000.09,57.72,19.88,19:48
3,3,4,1000.08,57.72,19.89,19:48
3,3,4,1000.07,57.72,19.9,19:49
3,3,4,1000.04,57.73,19.9,19:49
3,3,4,1000.07,57.74,19.9,19:50
3,3,4,1000.08,57.76,19.91,19:50
3,3,4,1000.08,57.78,19.91,19:51
3,3,4,1000.1,57.78,19.92,19:51
3,3,4,1000.1,57.8,19.92,19:52
3,3,4,1000.09,57.8,19.92,19:52
3,3,4,1000.07,57.8,19.92,19:53
3,3,4,1000.09,57.8,19.92,19:53
3,3,4,1000.06,57.79,19.91,19:54
3,3,4,1000.06,57.79,19.92,19:54
3,3,4,1000.07,57.78,19.93,19:55
3,3,4,1000.09,57.78,19.93,19:55
